Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº  de Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Contínuo);Conceito Enade (Faixa);Observação
2019;6208;ENGENHARIA DE PRODUÇÃO;1468;FACULDADE ESAMC UBERLÂNDIA;ESAMC;Faculdade;Privada com fins lucrativos;1099586;Educação Presencial;3170206;Uberlândia;MG;3;3;47.7;35.589;629.333;47.724;4.469;5;
2019;6208;ENGENHARIA DE PRODUÇÃO;1472;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Centro Universitário;Privada com fins lucrativos;109412;Educação a Distância;4207502;Indaial;SC;114;103;325.262;1.719;314.272;10.957;12.515;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1478;FACULDADE ANHANGUERA DE SÃO BERNARDO;;Faculdade;Privada com fins lucrativos;1101239;Educação Presencial;3548708;São Bernardo do Campo;SP;34;25;33.588;18.477;34.624;14.688;15.635;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1484;FACULDADE IBMEC;IBMEC;Faculdade;Privada com fins lucrativos;1115949;Educação Presencial;3106200;Belo Horizonte;MG;66;56;464.321;34.052;502.714;32.948;33.224;4;
2019;6208;ENGENHARIA DE PRODUÇÃO;1490;CENTRO UNIVERSITÁRIO DE JAGUARIÚNA;UniFAJ;Centro Universitário;Privada com fins lucrativos;88464;Educação Presencial;3524709;Jaguariúna;SP;39;33;451.515;32.499;509.303;33.717;33.412;4;
2019;6208;ENGENHARIA DE PRODUÇÃO;1491;CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Centro Universitário;Privada com fins lucrativos;1314228;Educação Presencial;4106902;Curitiba;PR;8;8;33.675;18.583;358.125;16.075;16.702;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1491;CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Centro Universitário;Privada com fins lucrativos;1315090;Educação a Distância;4106902;Curitiba;PR;355;317;343.817;1.944;343.224;14.336;15.612;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1492;FACULDADE PITÁGORAS DE UBERLÂNDIA;PIT UBERLÂNDIA;Faculdade;Privada com fins lucrativos;66445;Educação Presencial;3170206;Uberlândia;MG;9;7;376.714;23.429;364.286;16.794;18.453;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1493;CENTRO UNIVERSITÁRIO ALVES FARIA;UNIALFA;Centro Universitário;Privada com fins lucrativos;1169523;Educação Presencial;5208707;Goiânia;GO;17;17;408.353;27.265;473.529;29.542;28.973;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1494;CENTRO UNIVERSITÁRIO CATÓLICO DE VITÓRIA;;Centro Universitário;Privada sem fins lucrativos;1117591;Educação Presencial;3205309;Vitória;ES;35;30;38.92;24.943;395.967;20.491;21.604;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1502;FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ;;Faculdade;Privada com fins lucrativos;120032;Educação Presencial;3525904;Jundiaí;SP;33;21;30.919;15.241;292.524;0.8419;10.125;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1506;Faculdade CNEC Itajaí;;Faculdade;Privada sem fins lucrativos;1205545;Educação Presencial;4208203;Itajaí;SC;7;7;277.429;1.139;390.857;19.894;17.768;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1509;Centro Universitário Estácio de Belo Horizonte - Estácio BH;ESTÁCIO BH;Centro Universitário;Privada com fins lucrativos;1204167;Educação Presencial;3106200;Belo Horizonte;MG;10;9;344.778;19.556;363.556;16.708;1.742;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1510;CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;;Centro Universitário;Privada com fins lucrativos;1204227;Educação Presencial;4216602;São José;SC;10;10;33.55;18.431;52.86;35.968;31.584;4;
2019;6208;ENGENHARIA DE PRODUÇÃO;1514;FACULDADE VALE DO CRICARÉ;F.V.C.;Faculdade;Privada com fins lucrativos;1258334;Educação Presencial;3204906;São Mateus;ES;44;44;407.318;2.714;36.7;1.711;19.618;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1521;FACULDADE ESTÁCIO DE BELÉM - ESTÁCIO BELÉM;ESTÁCIO BELÉM;Faculdade;Privada com fins lucrativos;1138815;Educação Presencial;1501402;Belém;PA;45;41;351.146;20.329;323.195;11.999;14.081;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1536;FACULDADE DE TELÊMACO BORBA;FATEB;Faculdade;Privada com fins lucrativos;1151279;Educação Presencial;4127106;Telêmaco Borba;PR;17;17;283.647;12.144;271.235;0.5935;0.7487;1;
2019;6208;ENGENHARIA DE PRODUÇÃO;1541;FACULDADE FLAMINGO;;Faculdade;Privada com fins lucrativos;1259737;Educação Presencial;3550308;São Paulo;SP;22;21;303.667;14.571;275.714;0.6458;0.8486;1;
2019;6208;ENGENHARIA DE PRODUÇÃO;1542;CENTRO UNIVERSITÁRIO GERALDO DI BIASE;UGB;Centro Universitário;Privada sem fins lucrativos;1114145;Educação Presencial;3300308;Barra do Piraí;RJ;37;35;397.829;25.989;358.371;16.104;18.575;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1542;CENTRO UNIVERSITÁRIO GERALDO DI BIASE;UGB;Centro Universitário;Privada sem fins lucrativos;1283577;Educação Presencial;3306305;Volta Redonda;RJ;39;38;358.342;21.201;389.079;19.687;20.066;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1556;CENTRO UNIVERSITÁRIO SETE DE SETEMBRO;UNI7;Centro Universitário;Privada com fins lucrativos;1165804;Educação Presencial;2304400;Fortaleza;CE;41;37;401.216;2.64;471.135;29.263;28.547;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1558;Faculdade Doctum de João Monlevade;DOCTUM;Faculdade;Privada sem fins lucrativos;1284124;Educação Presencial;3136207;João Monlevade;MG;50;49;370.286;22.649;367.204;17.134;18.513;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1561;FACULDADE ESAMC SOROCABA;ESAMC;Faculdade;Privada com fins lucrativos;1107909;Educação Presencial;3552205;Sorocaba;SP;18;13;365.923;2.212;368.308;17.263;18.477;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1563;CENTRO UNIVERSITÁRIO UNINOVAFAPI;UNINOVAFAPI;Centro Universitário;Privada com fins lucrativos;1264924;Educação Presencial;2211001;Teresina;PI;37;34;352.029;20.436;374.676;18.006;18.614;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1575;CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Centro Universitário;Privada sem fins lucrativos;1121193;Educação Presencial;3104007;Araxá;MG;40;36;346.333;19.745;409.139;22.028;21.457;3;
